,day,name,total_distance,avg_pace,duration
0,2016-02-15,Adam Kimble,55.62,14.216666666666667,790
1,2016-02-16,Adam Kimble,19.130000000000003,16.35,335
2,2016-02-17,Adam Kimble,58.57000000000001,13.908333333333333,793
3,2016-02-18,Adam Kimble,36.26,15.416666666666666,558
4,2016-02-19,Adam Kimble,48.62,18.833333333333332,765
5,2016-02-20,Adam Kimble,40.17,18.025,729
6,2016-02-21,Adam Kimble,30.05,17.875,556
7,2016-02-22,Adam Kimble,39.77,16.833333333333332,669
8,2016-02-26,Adam Kimble,41.2,14.716666666666667,606
9,2016-02-27,Adam Kimble,50.09,15.433333333333334,772
10,2016-02-28,Adam Kimble,38.32,15.6,597
11,2016-02-29,Adam Kimble,47.39,13.733333333333333,651
12,2016-03-01,Adam Kimble,50.07,12.066666666666666,603
13,2016-03-02,Adam Kimble,47.02,13.766666666666667,647
14,2016-03-03,Adam Kimble,43.12,13.266666666666667,572
15,2016-03-04,Adam Kimble,45.68,21.15,966
16,2016-03-05,Adam Kimble,39.44,16.866666666666667,665
17,2016-03-06,Adam Kimble,36.06,18.291666666666668,642
18,2016-03-07,Adam Kimble,41.62,14.8,615
19,2016-03-09,Adam Kimble,43.32,13.9,602
20,2016-03-10,Adam Kimble,38.22,16.533333333333335,632
21,2016-03-11,Adam Kimble,42.86,15.0,643
22,2016-03-12,Adam Kimble,42.23,16.966666666666665,716
23,2016-03-13,Adam Kimble,45.07,19.583333333333332,883
24,2016-03-14,Adam Kimble,24.68,17.65,426
25,2016-03-15,Adam Kimble,50.19,13.8,692
26,2016-03-16,Adam Kimble,50.3,13.55,681
27,2016-03-17,Adam Kimble,50.41,12.583333333333334,634
28,2016-03-18,Adam Kimble,50.11,12.9,646
29,2016-03-19,Adam Kimble,50.14,14.466666666666667,725
30,2016-03-20,Adam Kimble,44.29,12.905555555555557,557
31,2016-03-21,Adam Kimble,48.55,11.866666666666667,575
32,2016-03-22,Adam Kimble,51.51,11.75,605
33,2016-03-23,Adam Kimble,55.06,12.466666666666667,686
34,2016-03-24,Adam Kimble,43.53,16.266666666666666,708
35,2016-03-25,Adam Kimble,26.009999999999998,17.90833333333333,469
36,2016-03-26,Adam Kimble,41.08,17.033333333333335,699
37,2016-03-27,Adam Kimble,45.04,16.608333333333334,746
38,2016-03-28,Adam Kimble,28.660000000000004,17.175,490
39,2016-03-29,Adam Kimble,46.56,17.066666666666666,794
40,2016-03-30,Adam Kimble,50.779999999999994,17.7625,973
41,2016-03-31,Adam Kimble,51.599999999999994,17.233333333333334,829
42,2016-04-01,Adam Kimble,53.42,15.061111111111112,756
43,2016-04-02,Adam Kimble,60.01,12.75,751
44,2016-04-03,Adam Kimble,55.96,13.016666666666667,728
45,2016-04-04,Adam Kimble,41.77,13.15,552
46,2016-04-05,Adam Kimble,40.35,16.566666666666666,668
47,2016-04-06,Adam Kimble,43.86,20.508333333333333,979
48,2016-04-07,Adam Kimble,52.41,21.133333333333333,1013
49,2016-04-08,Adam Kimble,23.81,12.133333333333333,288
50,2016-04-10,Adam Kimble,21.74,17.7,415
51,2016-04-11,Adam Kimble,37.84,16.7,632
52,2016-04-12,Adam Kimble,70.63,16.5,1044
53,2016-04-13,Adam Kimble,49.52,11.683333333333334,578
54,2016-04-14,Adam Kimble,35.16,11.266666666666667,396
