,day,name,total_distance,avg_pace,duration
0,2016-03-24,Jason Romero,19.07,10.033333333333333,191
1,2016-03-25,Jason Romero,40.17,4.958333333333333,398
2,2016-03-26,Jason Romero,50.26,15.933333333333334,801
3,2016-03-27,Jason Romero,55.839999999999996,7.283333333333333,651
4,2016-03-28,Jason Romero,87.91,7.083333333333333,694
5,2016-03-29,Jason Romero,14.0,10.4,145
6,2016-03-30,Jason Romero,55.0,15.3,841
7,2016-03-31,Jason Romero,50.09,14.433333333333334,722
8,2016-04-01,Jason Romero,50.02,14.316666666666666,716
9,2016-04-02,Jason Romero,51.29,15.2,780
10,2016-04-03,Jason Romero,51.31,14.35,736
11,2016-04-05,Jason Romero,50.01,14.283333333333333,714
12,2016-04-06,Jason Romero,51.09,13.35,681
13,2016-04-07,Jason Romero,51.0,13.116666666666667,668
14,2016-04-08,Jason Romero,50.01,12.15,607
15,2016-04-09,Jason Romero,51.0,12.933333333333334,659
16,2016-04-10,Jason Romero,50.0,13.566666666666666,678
17,2016-04-11,Jason Romero,52.0,12.5,650
18,2016-04-12,Jason Romero,51.01,12.983333333333334,645
19,2016-04-13,Jason Romero,51.17,10.916666666666666,558
20,2016-04-14,Jason Romero,51.0,13.666666666666666,697
21,2016-04-15,Jason Romero,51.03,13.25,676
22,2016-04-16,Jason Romero,50.0,12.274999999999999,630
23,2016-04-17,Jason Romero,51.07,14.45,738
24,2016-04-18,Jason Romero,51.19,12.0,614
25,2016-04-19,Jason Romero,48.01,11.083333333333334,531
26,2016-04-20,Jason Romero,51.09,12.866666666666667,657
27,2016-04-21,Jason Romero,50.989999999999995,11.35,579
28,2016-04-22,Jason Romero,52.150000000000006,11.116666666666667,584
29,2016-04-23,Jason Romero,49.629999999999995,11.783333333333333,597
30,2016-04-24,Jason Romero,51.31,13.666666666666666,700
31,2016-04-25,Jason Romero,53.49,13.366666666666667,715
32,2016-04-26,Jason Romero,51.03,13.383333333333333,682
33,2016-04-27,Jason Romero,51.1,12.766666666666666,651
34,2016-04-28,Jason Romero,50.989999999999995,11.708333333333334,596
35,2016-04-29,Jason Romero,51.010000000000005,10.933333333333334,562
36,2016-04-30,Jason Romero,50.44,13.183333333333334,669
37,2016-05-01,Jason Romero,51.25,12.55,644
38,2016-05-02,Jason Romero,51.269999999999996,10.95,564
39,2016-05-03,Jason Romero,51.07,11.391666666666666,577
40,2016-05-04,Jason Romero,51.0,11.766666666666666,599
41,2016-05-05,Jason Romero,53.980000000000004,12.172222222222222,636
42,2016-05-06,Jason Romero,55.190000000000005,11.341666666666667,631
43,2016-05-07,Jason Romero,51.1,12.8,656
44,2016-05-08,Jason Romero,50.209999999999994,11.308333333333334,570
45,2016-05-09,Jason Romero,50.18,14.183333333333334,711
46,2016-05-10,Jason Romero,52.48,13.616666666666667,714
47,2016-05-11,Jason Romero,51.980000000000004,12.133333333333333,636
48,2016-05-12,Jason Romero,51.22,13.883333333333333,710
49,2016-05-13,Jason Romero,54.12,12.883333333333333,697
50,2016-05-14,Jason Romero,50.400000000000006,11.941666666666666,603
51,2016-05-15,Jason Romero,51.12,12.116666666666667,619
52,2016-05-16,Jason Romero,51.07,13.966666666666667,713
53,2016-05-17,Jason Romero,51.0,13.45,686
54,2016-05-19,Jason Romero,49.71,12.258333333333333,623
55,2016-05-20,Jason Romero,52.199999999999996,15.908333333333331,728
56,2016-05-21,Jason Romero,50.8,13.816666666666666,702
57,2016-05-22,Jason Romero,60.76,12.583333333333334,764
58,2016-05-23,Jason Romero,70.55,14.0,988
