,day,name,total_distance,avg_pace,duration
0,2016-09-12,Pete Kostelnick,80.9,9.294444444444444,741
1,2016-09-13,Pete Kostelnick,55.14,9.725,536
2,2016-09-14,Pete Kostelnick,15.66,13.483333333333333,211
3,2016-09-15,Pete Kostelnick,72.95,10.700000000000001,746
4,2016-09-16,Pete Kostelnick,73.63,10.183333333333334,750
5,2016-09-17,Pete Kostelnick,69.72999999999999,11.4,752
6,2016-09-19,Pete Kostelnick,70.37,11.066666666666666,777
7,2016-09-20,Pete Kostelnick,70.63,10.316666666666666,727
8,2016-09-21,Pete Kostelnick,70.50999999999999,10.333333333333332,730
9,2016-09-22,Pete Kostelnick,72.35,10.366666666666667,746
10,2016-09-23,Pete Kostelnick,38.8,10.166666666666666,394
11,2016-09-24,Pete Kostelnick,71.05,10.433333333333334,740
12,2016-09-25,Pete Kostelnick,74.98,9.8,732
13,2016-09-26,Pete Kostelnick,71.47,10.633333333333333,753
14,2016-09-27,Pete Kostelnick,70.75,10.016666666666666,707
15,2016-09-28,Pete Kostelnick,35.21,10.683333333333334,376
16,2016-09-29,Pete Kostelnick,72.87,9.875,719
17,2016-09-30,Pete Kostelnick,72.31,9.558333333333334,690
18,2016-10-01,Pete Kostelnick,40.22,9.5,382
19,2016-10-02,Pete Kostelnick,73.78,9.75,718
20,2016-10-03,Pete Kostelnick,72.02000000000001,11.133333333333333,788
21,2016-10-04,Pete Kostelnick,77.66,9.991666666666667,771
22,2016-10-05,Pete Kostelnick,72.48,9.525,690
23,2016-10-06,Pete Kostelnick,74.25,9.766666666666666,719
24,2016-10-07,Pete Kostelnick,72.98,10.383333333333333,749
25,2016-10-08,Pete Kostelnick,71.24,10.666666666666666,751
26,2016-10-09,Pete Kostelnick,72.0,10.083333333333332,719
27,2016-10-10,Pete Kostelnick,72.01,10.208333333333332,729
28,2016-10-11,Pete Kostelnick,73.88,9.675,712
29,2016-10-12,Pete Kostelnick,72.25,10.533333333333333,751
30,2016-10-13,Pete Kostelnick,72.81,10.425,751
31,2016-10-14,Pete Kostelnick,72.36,10.108333333333334,728
32,2016-10-15,Pete Kostelnick,72.0,9.866666666666667,706
33,2016-10-16,Pete Kostelnick,73.3,9.566666666666666,698
34,2016-10-17,Pete Kostelnick,73.36,10.416666666666668,753
35,2016-10-18,Pete Kostelnick,71.89,10.158333333333333,726
36,2016-10-19,Pete Kostelnick,73.56,10.325,753
37,2016-10-20,Pete Kostelnick,34.23,10.816666666666666,370
38,2016-10-21,Pete Kostelnick,72.16,10.85,781
39,2016-10-22,Pete Kostelnick,73.69999999999999,10.391666666666667,759
40,2016-10-23,Pete Kostelnick,31.56,10.716666666666667,338
41,2016-10-24,Pete Kostelnick,60.44,11.058333333333334,668
